date,rank,team,games,win,lose,draw,win_rate,game_behind,recent_10,streak,home,away
2024.07.09,5,SSG,85,42,42,1,0.500,8,4승0무6패,1승,20-1-21,22-0-21
2024.07.09,6,NC,83,40,41,2,0.494,8.5,5승0무5패,2승,21-0-19,19-2-22
2024.07.09,7,KT,85,38,45,2,0.458,11.5,7승1무2패,1패,19-1-20,19-1-25
2024.07.09,8,롯데,81,35,43,3,0.449,12,5승1무4패,3패,23-2-16,12-1-27
2024.07.09,9,한화,83,36,45,2,0.444,12.5,4승0무6패,1패,20-2-22,16-0-23
2024.07.09,10,키움,82,36,46,0,0.439,13,7승0무3패,1승,21-0-25,15-0-21
2024.07.04,1,KIA,83,48,33,2,0.593,0,5승1무4패,3승,21-1-17,27-1-16
2024.07.04,2,LG,86,46,38,2,0.548,3.5,5승0무5패,1승,23-1-15,23-1-23
2024.07.04,3,두산,87,46,39,2,0.541,4,4승0무6패,2승,27-1-19,19-1-20
2024.07.04,4,삼성,85,44,39,2,0.530,5,2승1무7패,5패,22-0-20,22-2-19
2024.07.04,5,SSG,84,41,42,1,0.494,8,4승0무6패,2패,19-1-21,22-0-21
2024.07.04,6,NC,83,40,41,2,0.494,8,5승0무5패,2승,21-0-19,19-2-22
2024.07.04,7,KT,85,38,45,2,0.458,11,7승1무2패,1패,19-1-20,19-1-25
2024.07.04,8,롯데,80,35,42,3,0.455,11,5승1무4패,2패,23-2-16,12-1-26
2024.07.04,9,한화,82,36,44,2,0.450,11.5,4승0무6패,1승,20-2-22,16-0-22
2024.07.04,10,키움,81,35,46,0,0.432,13,7승0무3패,1패,20-0-25,15-0-21
2024.07.03,1,KIA,82,47,33,2,0.588,0,5승1무4패,2승,21-1-17,26-1-16
2024.07.03,2,LG,85,45,38,2,0.542,3.5,4승0무6패,2패,23-1-15,22-1-23
2024.07.03,3,삼성,84,44,38,2,0.537,4,3승1무6패,4패,22-0-19,22-2-19
2024.07.03,4,두산,86,45,39,2,0.536,4,3승0무7패,1승,26-1-19,19-1-20
2024.07.03,5,SSG,83,41,41,1,0.500,7,4승0무6패,1패,19-1-21,22-0-20
2024.07.03,6,NC,82,39,41,2,0.488,8,4승0무6패,1승,20-0-19,19-2-22
2024.07.03,7,KT,84,38,44,2,0.463,10,7승1무2패,5승,19-1-20,19-1-24
2024.07.03,8,롯데,79,35,41,3,0.461,10,6승1무3패,1패,23-2-16,12-1-25
2024.07.03,9,한화,81,35,44,2,0.443,11.5,3승0무7패,3패,19-2-22,16-0-22
2024.07.03,10,키움,80,35,45,0,0.438,12,8승0무2패,6승,20-0-24,15-0-21
2024.07.02,1,KIA,81,46,33,2,0.582,0,4승1무5패,1승,21-1-17,25-1-16
2024.07.02,2,LG,84,45,37,2,0.549,2.5,4승0무6패,1패,23-1-15,22-1-22
2024.07.02,3,삼성,83,44,37,2,0.543,3,4승1무5패,3패,22-0-18,22-2-19
2024.07.02,4,두산,85,44,39,2,0.530,4,3승0무7패,2패,25-1-19,19-1-20
2024.07.02,5,SSG,82,41,40,1,0.506,6,4승0무6패,2승,19-1-21,22-0-19
2024.07.02,6,NC,81,38,41,2,0.481,8,4승0무6패,1패,19-0-19,19-2-22
2024.07.02,7,롯데,78,35,40,3,0.467,9,6승1무3패,5승,23-2-16,12-1-24
2024.07.02,8,KT,83,37,44,2,0.457,10,7승1무2패,4승,19-1-20,18-1-24
2024.07.02,9,한화,80,35,43,2,0.449,10.5,4승0무6패,2패,19-2-21,16-0-22
2024.07.02,10,키움,79,34,45,0,0.430,12,7승0무3패,5승,19-0-24,15-0-21
